rent rentsqm area yearc location district
642.103 8.026 80 1984 2 1615
344.154 4.847 71 1957.5 1 1402
471.795 6.838 69 1971 1 1642
530.205 6.312 84 1968 1 1641
479.487 5.212 92 1955 1 1112
233.282 2.916 80 1958 1 2425
144.564 2.891 50 1957 2 1334
620.667 9.549 65 1972 1 2025
463.538 6.918 67 1965 1 1944
354.513 12.661 28 1959 2 926
422.923 4.918 86 1970 1 2121
548.513 8.847 62 1994.5 2 2131
792.462 9.005 88 1982 1 2135
521.949 5.799 90 1994.5 2 2143
753.282 11.589 65 1956 1 2323
596.359 7.951 75 1972 1 1321
409.949 5.394 76 1967 1 1342
626.051 9.486 66 1937 2 1243
606.974 12.387 49 1971 2 1262
307.231 5.207 59 1940 1 2525
348.154 5.615 62 1954 2 2522
248.359 4.357 57 1936 1 2524
398.923 8.311 48 1967 1 2522
336.923 3.744 90 1950 1 2512
238.821 10.384 23 1972 2 1261
353.744 11.791 30 1973 1 551
365.128 14.043 26 1957.5 1 611
473.897 5.575 85 1973 2 711
251.59 6.621 38 1955 1 711
392.564 4.512 87 1936 2 712
890.974 10.482 85 1939 1 2024
201.538 6.298 32 1973 1 611
441.692 9.202 48 1962 1 711
540.513 6.756 80 1965 2 2025
356.615 8.491 42 1957.5 2 1262
292.256 3.564 82 1918 1 1713
296.974 8.485 35 1960 1 1822
712.462 8.796 81 1955 3 1373
833.333 10.288 81 1918 2 232
274.564 5.18 53 1961 2 532
700.82 8.245 85 1918 2 231
626.103 8.131 77 1957.5 2 231
404.462 2.952 137 1939 1 522
438.154 5.477 80 1918 2 220
439.897 9.998 44 1957.5 2 1407
173.128 2.664 65 1956 2 1242
733.897 6.116 120 1918 2 1242
328.821 10.276 32 1983 1 2522
571.641 7.725 74 1973 1 2513
391.077 6.411 61 1918 1 422
407.026 6.784 60 1964 1 1121
597.949 6.294 95 1957.5 1 951
294.513 5.454 54 1918 1 962
253.385 7.678 33 1957.5 2 942
356.82 4.351 82 1969 2 951
371.641 9.291 40 1958 2 941
333.487 3.586 93 1929 1 2513
619.538 8.152 76 1918 1 962
419.744 6.663 63 1950 1 2512
378.051 6.751 56 1963 1 1342
339.487 5.853 58 1972 1 1362
356.256 11.133 32 1972 1 1321
382.256 12.742 30 1968 3 927
214.308 7.654 28 1970 3 925
654.923 10.915 60 1918 2 913
377.538 4.495 84 1935 3 925
464.667 7.149 65 1957.5 1 2221
502.974 4.79 105 1929 3 925
501.128 6.508 77 1939 1 927
665.795 7.833 85 1996 1 2324
384.923 5.499 70 1929 1 915
222.923 4.743 47 1929 1 916
513.18 6.415 80 1972 2 914
552.462 4.977 111 1954 1 1722
379.795 6.548 58 1962 1 1714
484.974 6.643 73 1973 1 1643
514 7.343 70 1973 1 1643
498.205 5.084 98 1959 1 1714
510 6.711 76 1955 2 1842
285.538 3.614 79 1939 1 816
344.615 3.162 109 1924 1 816
589.282 9.208 64 1918 1 822
795.59 10.2 78 1972 2 532
385.231 6.315 61 1969 1 1013
507.897 7.256 70 1991 1 1013
300.154 3.752 80 1918 1 1014
374.821 4.516 83 1929 1 1025
426.513 8.886 48 1972 1 1013
501.949 7.275 69 1957.5 1 1025
503.231 12.581 40 1964 1 1362
553.538 4.393 126 1957 1 1112
551.538 10.028 55 1957.5 2 273
875.231 6.838 128 1929 1 273
356.256 4.003 89 1980 2 943
407.436 3.704 110 1918 2 813
280.308 10.011 28 1969 2 563
258.923 2.726 95 1918 1 816
507.795 9.068 56 1939 1 621
1334.974 10.113 132 1995 2 1543
929.333 9.782 95 1976 3 1952
732.308 9.154 80 1970 2 1931
290.256 10.366 28 1992 2 1934
434 5.425 80 1973 1 2024
690.359 10.621 65 1965 1 1944
505.026 6.393 79 1991 1 1213
425.538 7.599 56 1988 1 1133
418.615 5.657 74 1929 2 153
342.051 11.034 31 1929 2 360
164.154 3.648 45 1918 1 816
365.949 4.879 75 1959 2 360
384.513 6.409 60 1957.5 2 360
265.846 5.425 49 1959 2 372
459.436 4.549 101 1918 2 360
492.359 6.154 80 1929 2 421
675.641 8.043 84 1918 2 360
466.667 8.046 58 1970 2 2526
275.59 3.242 85 1964 2 2524
452 9.04 50 1957.5 2 2012
376.974 6.08 62 1962 2 2523
355.692 6.84 52 1969 1 2522
197.744 8.988 22 1958 1 2514
498.974 5.802 86 1962 1 2513
168.256 2.804 60 1939 1 1714
345.385 7.349 47 1971 1 1713
186.718 3.89 48 1918 1 1711
799.077 9.513 84 1970 1 1713
130.821 2.67 49 1953 1 1712
446.615 7.7 58 1971 2 1851
537.128 8.393 64 1972 1 1957
355.744 5.647 63 1961 1 1926
698.359 8.216 85 1970 2 1935
304 6.756 45 1972 2 1957
218.718 4.374 50 1965 2 1933
628.154 10.469 60 1992 1 622
222.564 7.419 30 1956 1 624
527.231 6.937 76 1971 1 724
510.256 7.973 64 1972 1 723
241.846 3.061 79 1918 2 522
655.436 4.52 145 1929 2 163
507.128 9.056 56 1957.5 1 522
466.205 4.571 102 1918 2 153
320.769 9.434 34 1971 1 163
478.667 8.703 55 1957.5 1 611
430.615 9.787 44 1984 2 1943
1372.513 8.855 155 1918 2 163
415.026 3.517 118 1918 1 163
362.462 5.105 71 1956 2 152
985.897 6.162 160 1918 2 383
349.538 9.709 36 1959 2 350
584.308 9.275 63 1991 1 714
576.821 6.481 89 1960 2 411
666.667 10.582 63 1957.5 2 426
624.256 8.107 77 1972 1 2314
753.692 8.565 88 1964 1 962
188.513 2.693 70 1957.5 1 914
340.103 5.967 57 1939 1 963
868.359 17.722 49 1988 2 964
307.692 9.324 33 1939 1 963
623.128 7.989 78 1955 1 1363
523.026 6.882 76 1977 1 1363
404.256 5.463 74 1970 1 1402
439.744 6.871 64 1958 1 2132
612.769 11.141 55 1983 1 2221
644.769 9.92 65 1967 1 2514
417.692 7.594 55 1955 1 1123
485.333 8.824 55 1972 2 425
634.461 8.459 75 1973 2 1544
529.846 12.615 42 1983 1 1512
213.333 9.697 22 1970 1 2513
152.462 2.584 59 1952 1 2522
650.667 11.415 57 1972 2 2526
428.051 6.204 69 1963 2 2526
377.744 5.723 66 1963 2 563
417.436 4.394 95 1929 1 1711
911.538 8.44 108 1989 1 563
289.692 4.828 60 1950 1 552
394.462 8.965 44 1973 1 2322
273.436 4.714 58 1930 1 916
254.462 6.059 42 1974 2 914
184.821 3.696 50 1929 2 914
670.872 9.066 74 1959 2 411
686.821 6.604 104 1957 2 414
615.846 10.618 58 1959 2 1261
480.051 5.334 90 1957.5 2 414
583.179 9.257 63 1939 2 411
590.41 9.083 65 1957.5 2 412
705.795 8.822 80 1929 2 914
455.487 8.282 55 1929 2 942
380.667 4.326 88 1929 2 941
345.385 8.223 42 1952 1 1236
1083.795 11.29 96 1918 2 1242
495.077 7.281 68 1972 1 422
1075.641 9.779 110 1939 1 1313
436.051 6.142 71 1918 2 231
633.692 5.868 108 1918 2 231
587.385 10.305 57 1994.5 1 2131
595.539 10.448 57 1972 2 926
543.692 5.91 92 1963 1 2135
322.41 5.285 61 1957.5 2 414
731.949 8.224 89 1973 2 1244
860.103 9.054 95 1991 1 1313
455.795 10.359 44 1968 2 2523
558.513 7.07 79 1957.5 1 2514
675.487 8.888 76 1924 2 926
877.538 5.662 155 1918 3 925
1236.821 11.244 110 1990 1 1375
615.333 8.429 73 1993 1 1714
691.231 9.6 72 1918 2 1852
653.385 7.341 89 1976 1 2113
600.974 8.585 70 1972 1 711
361.128 6.336 57 1963 1 2514
531.538 4.832 110 1965 1 2514
640.051 6.275 102 1959 1 711
232.359 4.225 55 1960 1 2514
593.487 8.359 71 1918 3 924
214.513 4.767 45 1957.5 1 963
505.692 5.813 87 1971 1 1012
776.154 5.106 152 1918 2 913
313.18 3.915 80 1957.5 2 913
335.59 6.215 54 1970 1 2113
619.897 7.749 80 1918 2 232
370.718 5.078 73 1962 2 2524
336.974 6.48 52 1956 1 723
390.359 6.006 65 1957 1 1831
451.692 5.314 85 1972 1 1011
368.154 3.835 96 1936 3 1335
247.179 8.239 30 1957.5 2 411
343.692 3.95 87 1918 2 961
373.487 6.552 57 1962 1 734
599.897 9.998 60 1972 2 1953
280.051 7.001 40 1966 1 1957
406.872 10.172 40 1967 1 1957
358.769 9.441 38 1986 1 1934
549.641 7.047 78 1971 1 422
289.846 9.662 30 1956 1 963
403.59 5.109 79 1929 1 813
230.718 2.814 82 1918 2 942
698.051 8.726 80 1958 2 341
344.513 9.843 35 1953 1 2512
136.667 4.271 32 1972 1 2424
413.18 6.664 62 1971 1 1012
304.821 4.064 75 1956 2 333
202 4.489 45 1929 2 350
644.103 9.201 70 1918 1 612
264.974 9.137 29 1957 1 713
595.949 11.461 52 1961 1 713
718.462 10.412 69 1918 2 961
506.462 6.577 77 1960 1 963
851.18 10.014 85 1992 1 1122
646.974 9.803 66 1981 1 962
556.769 5.155 108 1971 1 942
441.692 6.401 69 1971 1 1012
571.436 6.885 83 1973 1 1015
543.846 11.571 47 1992 2 813
458.051 7.157 64 1959 1 1822
435.59 10.13 43 1972 1 1123
785.333 9.349 84 1988 2 941
143.846 2.026 71 1957.5 2 531
337.744 9.382 36 1968 1 1343
765.385 8.057 95 1980 1 1832
582 5.243 111 1954 1 1722
568.462 5.573 102 1954 1 1722
532.769 9.866 54 1957.5 2 372
516 8.897 58 1936 2 2529
268.103 4.788 56 1918 1 2526
266.256 4.096 65 1929 1 1921
634.461 8.574 74 1984 1 1924
447.333 7.848 57 1986 1 152
437.282 5.466 80 1959 2 2526
224.513 4.318 52 1957 1 331
203.744 4.528 45 1939 1 2528
671.897 11.584 58 1994 1 1342
512.667 4.101 125 1918 2 122
418.103 4.355 96 1957 1 1112
494.41 6.773 73 1965 1 1122
298.308 4.589 65 1918 1 1121
814.564 10.718 76 1983 1 1611
618 9.968 62 1983 1 563
419.18 5.589 75 1957.5 1 1812
266.41 4.44 60 1957.5 2 210
172.154 2.569 67 1918 2 231
686.41 9.152 75 1971 1 2411
501.59 8.36 60 1918 2 531
607.18 6.529 93 1961 2 425
897.077 10.08 89 1954 1 1821
270.513 9.017 30 1959 1 1822
137.949 3.832 36 1918 2 411
779.795 11.301 69 1991 2 2135
871.333 11.936 73 1972 3 925
181.949 2.166 84 1964 1 1371
388.872 6.076 64 1972 1 1957
547.026 9.768 56 1956 2 913
806.615 9.958 81 1918 2 531
445.026 7.543 59 1981 1 2221
597.744 8.078 74 1929 1 422
398.256 5.24 76 1970 1 713
437.436 8.927 49 1918 1 612
382.872 6.837 56 1957.5 2 333
279.026 3.72 75 1957.5 1 273
404.308 7.22 56 1918 1 814
735.231 7.659 96 1967 2 714
239.385 2.52 95 1918 1 816
443.436 9.05 49 1971 1 2021
266.154 7.004 38 1958 1 928
345.949 10.175 34 1984 2 411
414.154 14.281 29 1972 1 2011
201.487 3.415 59 1957.5 1 624
614.205 8.902 69 1965 1 1944
992.872 9.279 107 1972 1 1944
691.795 6.016 115 1955 2 1262
610.667 7.447 82 1984 2 964
665.641 7.831 85 1985 2 1235
438.205 4.869 90 1939 2 412
1170.308 10.639 110 1973 3 1250
418 5.806 72 1970 1 1712
571.59 7.939 72 1972 1 1811
577.18 9.462 61 1937 2 563
399.897 4.877 82 1957.5 2 412
584.564 6.026 97 1939 2 411
476.205 8.071 59 1957 2 414
459.744 8.359 55 1918 2 961
508.513 7.946 64 1918 1 915
412.615 8.09 51 1957 2 210
378.103 4.726 80 1930 1 916
380.41 6.34 60 1956 2 350
319.487 4.915 65 1929 1 261
654.82 5.037 130 1929 1 242
342.718 6.231 55 1918 1 822
570.615 4.755 120 1939 1 251
435.897 8.547 51 1967 1 1133
353.18 6.307 56 1959 1 1132
794.974 8.368 95 1972 2 1243
373.59 4.729 79 1924 3 1852
542.205 7.746 70 1957.5 2 151
964.41 13.211 73 1991 2 153
572.667 7.249 79 1957.5 2 1531
544.82 4.54 120 1929 1 1011
377.949 11.453 33 1977 2 1244
813.795 11.626 70 1991 3 2133
727.333 5.595 130 1957.5 2 411
709.744 8.35 85 1918 2 543
944 10.977 86 1991 1 542
641.692 9.577 67 1918 2 210
411.641 5.146 80 1957.5 2 1543
619.538 10.682 58 1991 2 1541
507.282 9.059 56 1959 2 232
512 7.314 70 1918 2 210
40.513 0.862 47 1918 2 521
728.82 8.098 90 1918 2 711
395.538 5.732 69 1918 1 542
451.231 5.86 77 1972 2 1613
270.308 3.51 77 1918 1 522
514.308 8.572 60 1918 2 242
301.179 5.193 58 1957.5 1 1402
314.359 8.06 39 1957 1 623
519.744 6.338 82 1918 1 623
291.026 5.821 50 1924 1 2222
459.744 6.862 67 1984 1 714
468.718 5.266 89 1971 1 713
412.462 7.499 55 1969 1 612
246.051 4.17 59 1939 1 734
402.974 7.327 55 1969 1 713
400.41 8.008 50 1959 1 713
204.051 3.58 57 1918 1 612
541.538 8.734 62 1962 1 713
746.051 8.383 89 1981 2 1935
604.256 10.071 60 1963 2 563
374.103 10.689 35 1970 1 1713
134.359 3.732 36 1931 1 713
635.539 9.778 65 1929 1 252
451.795 11.584 39 1985 2 332
670.82 8.082 83 1985 1 252
916.718 8.488 108 1918 1 261
215.231 6.943 31 1918 1 822
724.513 9.056 80 1957.5 2 350
439.795 6.468 68 1956 1 1121
494.205 6.589 75 1957.5 2 412
443.18 5.276 84 1973 1 1122
271.128 3.476 78 1957.5 2 350
294.051 5.07 58 1957.5 2 943
407.897 5.745 71 1959 1 951
534.308 10.686 50 1969 1 2523
645.59 10.942 59 1939 3 925
707.128 8.624 82 1959 1 927
344.769 6.63 52 1959 1 1132
366 6.1 60 1957.5 2 941
632.462 7.354 86 1980 2 531
939.282 7.062 133 1961 3 1372
245.282 3.774 65 1954 2 1853
184.769 3.623 51 1918 2 916
495.282 5.003 99 1962 1 951
343.231 10.401 33 1972 1 2522
494.821 5.962 83 1957.5 1 1644
237.59 4.569 52 1924 1 1124
453.59 4.2 108 1955 1 1112
988.974 9.99 99 1991 1 1321
453.949 6.984 65 1918 2 242
335.795 11.193 30 1959 2 360
282.564 5.434 52 1918 1 1401
210.615 4.481 47 1957.5 1 1404
594.718 10.62 56 1984 2 1543
682.205 8.528 80 1980 2 1544
498.154 7.116 70 1965 2 1243
505.026 9.018 56 1984 1 1132
1256.513 13.511 93 1939 2 426
256.615 3.948 65 1957 1 1132
440.667 5.508 80 1972 1 1011
589.385 5.358 110 1929 1 1011
677.897 8.07 84 1957.5 2 1243
322.821 13.451 24 1983 2 426
183.59 3.221 57 1956 2 1242
391.436 4.605 85 1963 2 411
479.641 5.643 85 1967 1 2524
266.872 5.678 47 1972 1 1932
637.487 6.572 97 1971 1 1012
582.923 9.556 61 1970 1 1013
463.026 9.261 50 1967 2 2523
444.41 4.779 93 1953 1 1921
856.051 10.701 80 1939 2 1244
558.974 5.324 105 1929 1 541
857.846 9.532 90 1996 1 552
366.564 8.146 45 1929 1 563
271.282 6.028 45 1939 1 1841
1022.41 16.49 62 1984 2 1852
423.487 6.05 70 1918 2 360
526.923 9.409 56 1929 2 360
501.026 9.824 51 1972 1 422
495.333 9.907 50 1962 2 411
754.974 8.579 88 1983 1 2024
701.897 7.799 90 1924 2 1832
642.718 5.843 110 1962 2 413
422.564 8.451 50 1986 2 1545
269.949 4.285 63 1929 2 942
350.205 4.12 85 1918 1 242
904.564 10.397 87 1924 3 925
356.923 14.872 24 1971 1 961
407.077 6.076 67 1957.5 2 233
233.487 3.243 72 1968 1 2222
429.795 6.14 70 1918 2 210
272.974 3.412 80 1957.5 1 962
428 4.196 102 1930 1 916
332.872 7.397 45 1929 1 915
346.872 4.033 86 1929 2 961
336.872 13.475 25 1965 1 961
465.179 6.372 73 1962 2 2131
379.949 5.757 66 1959 1 1132
580.462 9.362 62 1963 1 1132
324.615 11.194 29 1961 1 1132
186.821 2.708 69 1939 2 425
250.103 4.034 62 1929 1 1132
624.154 6.711 93 1955 1 422
579.744 7.834 74 1938 2 1241
551.949 10.414 53 1996 1 624
219.641 3.661 60 1956 1 711
599.026 10.697 56 1918 1 332
245.385 8.179 30 1957.5 1 251
436.359 4.795 91 1918 1 612
270 3.699 73 1954 2 425
529.795 5.577 95 1971 1 1012
256.872 4.281 60 1965 1 1957
216 3.6 60 1918 2 943
158.564 3.049 52 1986 2 941
570.718 6.272 91 1970 1 1723
649.846 9.418 69 1972 1 963
262.564 7.722 34 1960 1 1363
397.487 5.445 73 1967 1 2524
278.718 5.36 52 1918 2 543
593.744 8.862 67 1958 2 543
275.692 3.404 81 1918 2 541
541.385 10.615 51 1982 1 1646
402.154 4.845 83 1960 1 1812
1232.205 9.937 124 1997 2 231
331.487 8.959 37 1957.5 1 1025
645.539 8.966 72 1970 2 2315
878.308 9.444 93 1972 1 711
557.949 8.718 64 1929 1 1812
451.026 5.638 80 1962 1 963
720.462 6.797 106 1972 2 733
333.128 4.563 73 1968 1 1921
382.154 8.492 45 1992 1 734
398.359 4.742 84 1939 1 734
479.538 5.449 88 1968 1 1942
354.308 9.085 39 1974 1 1922
283.846 7.096 40 1957.5 1 1922
725.128 8.335 87 1963 2 1931
460.308 7.082 65 1963 1 1342
384.051 6.296 61 1960 1 1363
397.744 9.04 44 1991 1 712
338.051 4.226 80 1974 1 2033
365.231 4.806 76 1918 1 612
404.308 4.301 94 1918 2 1261
472.564 6.751 70 1957.5 2 415
156 1.926 81 1972 2 413
331.026 8.947 37 1972 2 426
293.487 9.783 30 1971 2 426
261.641 4.153 63 1918 2 563
415.692 10.939 38 1929 1 563
513.897 7.67 67 1972 1 422
365.795 5.9 62 1957.5 2 350
373.18 4.784 78 1957.5 1 422
512.205 8.681 59 1986 1 1014
610.103 6.041 101 1971 1 1012
487.077 4.775 102 1924 1 1011
321.026 6.552 49 1965 1 1934
455.436 4.217 108 1955 1 1111
221.897 3.263 68 1957 1 1241
727.18 7.06 103 1982 1 422
394.769 5.408 73 1954 2 2526
588.718 8.658 68 1957.5 2 2012
300.667 6.264 48 1965 1 1957
474.359 9.122 52 1972 1 1957
945.846 9.651 98 1973 3 1955
314.205 6.412 49 1972 1 1934
511.231 9.467 54 1969 1 1112
378.051 12.195 31 1972 1 422
229.231 4.877 47 1924 2 1242
557.077 8.192 68 1939 3 964
446.974 5.73 78 1957.5 2 350
457.487 5.258 87 1963 1 1123
418.923 3.915 107 1929 2 1243
523.18 6.707 78 1961 1 1132
632.308 7.439 85 1965 2 1241
419.487 3.884 108 1939 2 231
637.795 7.087 90 1918 1 543
616.308 9.783 63 1992 1 622
268.154 5.587 48 1918 1 521
542.154 8.888 61 1918 2 543
333.436 2.826 118 1918 1 1375
342.821 6.233 55 1934 2 1615
358.41 6.517 55 1962 1 1404
637.231 7.867 81 1969 1 1641
790.923 8.597 92 1918 2 813
448.308 5.401 83 1972 1 2134
271.128 3.432 79 1929 1 2513
278.821 6.196 45 1918 2 383
1181.59 11.253 105 1918 2 153
512.564 13.489 38 1989 2 113
589.231 5.124 115 1918 2 153
197.795 4.395 45 1958 1 1132
314.462 4.368 72 1972 1 1123
542.769 6.539 83 1937 2 1854
465.897 13.311 35 1986 1 1636
612.256 6.583 93 1941 1 734
285.026 4.454 64 1965 1 1944
310.513 5.75 54 1975 1 2024
566.769 9.772 58 1972 1 2421
487.231 6.167 79 1956 1 1832
277.026 5.771 48 1960 1 1363
663.385 8.845 75 1918 2 944
365.744 9.625 38 1959 1 951
285.385 8.394 34 1918 2 943
182.718 4.568 40 1918 1 962
425.231 7.207 59 1918 1 816
339.231 6.058 56 1967 1 1406
348.051 3.481 100 1939 1 522
547.026 7.198 76 1929 1 1812
268.667 8.396 32 1967 1 1812
818.923 8.356 98 1955 1 927
656.872 5.972 110 1918 3 925
458.513 6.947 66 1964 1 1132
531.385 7.38 72 1954 2 961
330.615 3.674 90 1918 2 411
339.744 7.901 43 1965 2 1241
315.282 9.853 32 1957.5 2 1243
338.462 9.67 35 1994.5 1 1924
584.82 6.221 94 1918 2 543
502.718 8.379 60 1929 1 624
504.103 5.794 87 1918 2 413
284.41 3.6 79 1972 1 1321
396.051 5.911 67 1985 2 1346
319.282 4.434 72 1953 2 522
502.154 7.385 68 1979 1 1611
390.359 7.097 55 1929 1 1514
344 5.931 58 1957.5 1 1641
418.769 4.985 84 1918 2 532
651.846 8.929 73 1971 1 1642
334.41 8.8 38 1972 1 422
411.487 4.473 92 1957.5 1 152
512.718 5.893 87 1971 1 1012
304.103 5.529 55 1936 1 2524
311.744 4.213 74 1955 1 963
437.179 4.752 92 1972 1 2514
387.128 9.003 43 1939 2 411
465.538 5.542 84 1962 1 951
578.359 5.073 114 1929 1 914
365.538 9.619 38 1988 1 2524
218.308 3.7 59 1918 1 623
478.821 10.882 44 1939 1 623
314.051 3.02 104 1918 1 623
370.718 6.179 60 1957.5 1 624
455.795 8.287 55 1918 1 623
157.744 2.253 70 1931 1 623
344.923 5.226 66 1965 2 611
339.846 5.962 57 1964 2 711
239.282 9.203 26 1962 1 2135
320.103 9.146 35 1972 1 2131
300.974 7.166 42 1957.5 1 1025
375.231 6.822 55 1918 3 925
418 6.058 69 1965 1 1122
374.615 6.811 55 1971 1 1025
605.385 7.761 78 1955 2 426
818.974 10.237 80 1954 2 426
306.205 10.207 30 1972 2 2134
170.256 3.959 43 1918 1 2526
209.128 2.614 80 1929 1 2513
314 4.618 68 1918 1 1811
579.641 6.44 90 1963 1 1811
808.308 8.786 92 1966 1 1822
625.282 6.38 98 1962 1 1812
397.231 6.733 59 1968 2 1852
591.231 11.825 50 1990 2 1634
352.872 8.206 43 1983 1 1646
357.282 10.208 35 1970 1 2033
487.692 6.252 78 1968 1 1641
291.59 3.314 88 1929 1 822
344.051 6.371 54 1956 1 2513
607.282 8.319 73 1939 2 926
713.282 8.594 83 1935 2 925
364.308 9.587 38 1971 2 426
322.103 7.491 43 1956 2 1812
679.333 9.705 70 1984 2 372
402.872 4.332 93 1918 2 274
460.051 8.519 54 1957.5 2 350
354.564 4.029 88 1934 2 1372
703.897 9.776 72 1972 1 1114
